Title,Gross Box Office,Release Date
Five Nights at Freddy's,"$291,493,620 ",10/27/2023
Inside Out 2,"$1,698,863,816 ",6/14/2024
Deadpool & Wolverine,"$1,338,073,645 ",7/26/2024
Moana 2,"$1,059,242,164 ",11/27/2024
Despicable Me 4,"$969,586,052 ",7/3/2024
Wicked,"$756,143,602 ",11/22/2024
Mufasa: The Lion King,"$722,631,756 ",12/20/2024
Dune: Part Two,"$714,644,358 ",3/1/2024
Godzilla x Kong: The New Empire,"$571,850,016 ",3/29/2024
Kung Fu Panda 4,"$547,689,492 ",3/8/2024
Sonic the Hedgehog 3,"$492,162,604 ",12/20/2024
Venom: The Last Dance,"$478,937,618 ",10/25/2024
Gladiator II,"$462,180,717 ",11/22/2024
Beetlejuice Beetlejuice,"$451,900,435 ",9/6/2024
Yolo,"$433,593,489 ",2/10/2024
Pegasus 2,"$422,878,491 ",2/10/2024
Bad Boys: Ride or Die,"$404,550,184 ",6/7/2024
Kingdom of the Planet of the Apes,"$397,378,150 ",5/10/2024
Twisters,"$372,262,265 ",7/19/2024
It Ends with Us,"$351,441,044 ",8/9/2024
Alien: Romulus,"$350,865,342 ",8/16/2024
The Wild Robot,"$333,165,945 ",9/27/2024
Article 20,"$306,899,794 ",2/10/2024
A Quiet Place: Day One,"$261,907,653 ",6/28/2024
Boonie Bears: Time Twist,"$250,921,235 ",2/10/2024
The Garfield Movie,"$234,689,009 ",5/24/2024
